report_period_start,report_period_end,interval_start,interval_end,container_name,image_name,pod,owner_name,owner_kind,workload,workload_type,namespace,node,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
,,2023-03-22T07:12:05.532555,2023-03-22T07:27:05.532555,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.9951339043534566,2.1129056440355876,6.087925534066744,3.9951339043534566,0,0,0,2733000000,2733000000,2733000000,2733000000,1016515154.5806451,1015463936,1018621952,1016515154.5806451,1003940434.5806452,1003814912,1004052480,1003940434.5806452
,,2023-03-22T07:12:05.532555,2023-03-22T07:27:05.532555,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,4.492029978080083,2.28094111099684,6.931019589002244,4.492029978080083,0,0,0,2733000000,2733000000,2733000000,2733000000,992431854.9333334,992104448,992661504,992431854.9333334,982924902.4000002,982855680,982966272,982924902.4000002
,,2023-03-22T07:12:05.532555,2023-03-22T07:27:05.532555,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.024491855292064,2.0773232795298098,5.603819836000912,4.024491855292064,0,0,0,2733000000,2733000000,2733000000,2733000000,831449682.5806452,830926848,832757760,831449682.5806452,799478949.1612903,799408128,799588352,799478949.1612903
,,2023-03-22T07:27:05.532553,2023-03-22T07:42:05.532553,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.8114984271921117,1.4276147610663126,5.287747035866293,2.8114984271921117,0,0,0,2733000000,2733000000,2733000000,2733000000,928327217.5483872,789794816,1018400768,928327217.5483872,909437918.9677421,760119296,1004105728,909437918.9677421
,,2023-03-22T07:27:05.532553,2023-03-22T07:42:05.532553,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,3.220346877811115,1.553303436927187,5.732561011464956,3.220346877811115,0,0,0,2733000000,2733000000,2733000000,2733000000,991972966.4000001,991674368,992907264,991972966.4000001,982746453.3333334,982679552,982982656,982746453.3333334
,,2023-03-22T07:27:05.532553,2023-03-22T07:42:05.532553,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.807260422252325,1.29903582217327,5.151726058071168,2.807260422252325,0,0,0,2733000000,2733000000,2733000000,2733000000,829199260.9032259,828125184,831614976,829199260.9032259,799245345.0322579,799121408,799498240,799245345.0322579
,,2023-03-22T07:42:05.532571,2023-03-22T07:57:05.532571,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,4.743801838465605,1.4373741740360857,7.223061778202342,4.743801838465605,0,0,0,2733000000,2733000000,2733000000,2733000000,791245857.0322582,789843968,793104384,791245857.0322582,760456092.9032258,760127488,760737792,760456092.9032258
,,2023-03-22T07:42:05.532571,2023-03-22T07:57:05.532571,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,5.478322071037773,2.374547837170151,8.50444318036704,5.478322071037773,0,0,0,2733000000,2733000000,2733000000,2733000000,992297915.7333332,991715328,992825344,992297915.7333332,982801339.7333331,982704128,982859776,982801339.7333331
,,2023-03-22T07:42:05.532571,2023-03-22T07:57:05.532571,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,4.883764392998742,2.3264354755403476,7.520142705226317,4.883764392998742,0,0,0,2733000000,2733000000,2733000000,2733000000,829349095.2258065,828211200,831787008,829349095.2258065,799360429.419355,799125504,799510528,799360429.419355
,,2023-03-22T07:57:05.532263,2023-03-22T08:12:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,3.3822442806545747,1.7269030140014365,6.966902028132851,3.3822442806545747,0,0,0,2733000000,2733000000,2733000000,2733000000,791171732.6451613,790753280,793276416,791171732.6451613,760544619.3548388,760516608,760664064,760544619.3548388
,,2023-03-22T07:57:05.532263,2023-03-22T08:12:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,3.6060292917544334,1.5220175884276008,7.669143388862722,3.6060292917544334,0,0,0,2733000000,2733000000,2733000000,2733000000,992414651.7333333,992165888,992870400,992414651.7333333,982826188.8,982786048,982859776,982826188.8
,,2023-03-22T07:57:05.532263,2023-03-22T08:12:05.532263,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,3.5064482840991364,1.457790182204917,6.642222251502487,3.5064482840991364,0,0,0,2733000000,2733000000,2733000000,2733000000,829212738.0645162,828960768,830029824,829212738.0645162,799382098.5806451,799363072,799436800,799382098.5806451
,,2023-03-22T08:12:05.532245,2023-03-22T08:27:05.532245,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.6588729746419837,1.3938724706337478,3.646515045198612,2.6588729746419837,0,0,0,2733000000,2733000000,2733000000,2733000000,790490607.483871,789835776,792252416,790490607.483871,760320924.9032259,760184832,760541184,760320924.9032259
,,2023-03-22T08:12:05.532245,2023-03-22T08:27:05.532245,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-xgq9h,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h29-740xd,9.24,9.24,9.24,9.24,3.0433270528765086,1.589447223697789,4.216088689863682,3.0433270528765086,0,0,0,2733000000,2733000000,2733000000,2733000000,992066901.3333334,991682560,992641024,992066901.3333334,982740036.2666667,982691840,982843392,982740036.2666667
,,2023-03-22T08:12:05.532245,2023-03-22T08:27:05.532245,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-tq4j5,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h33-740xd,9.24,9.24,9.24,9.24,2.861516296877526,1.639153267769143,3.6764116720994933,2.861516296877526,0,0,0,2733000000,2733000000,2733000000,2733000000,828681711.4838711,828289024,829366272,828681711.4838711,799280623.4838709,799223808,799379456,799280623.4838709
,,2023-03-22T08:27:05.532254,2023-03-22T08:42:05.532254,tfb-server,docker.io/kruize/tfb-qrh:1.13.2.F_et17,tfb-qrh-sample-0-55755949dd-khphd,tfb-qrh-sample-0-55755949dd,ReplicaSet,tfb-qrh-sample-0,deployment,autotune-tfb,e23-h31-740xd,9.24,9.24,9.24,9.24,2.953080572365628,1.2245316572332134,4.916640205495059,2.953080572365628,0,0,0,2733000000,2733000000,2733000000,2733000000,790971160.7741935,789880832,791638016,790971160.7741935,760474326.7096773,760184832,760586240,760474326.7096773
