report_period_start,report_period_end,interval_start,interval_end,container_name,pod,owner_name,owner_kind,workload,workload_type,namespace,image_name,node,resource_id,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_avg,cpu_usage_container_min,cpu_usage_container_max,cpu_usage_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,cpu_throttle_container_sum,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_avg,memory_usage_container_min,memory_usage_container_max,memory_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_min,memory_rss_usage_container_max,memory_rss_usage_container_sum
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 06:15:01 +0000 UTC,2023-06-07 06:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006727,0.00274,0.010853,0.006727,0,0,0,268435456,268435456,536870912,536870912,162317516.8,162201600,162467840,162317516.8,153232452.266667,152133632,154210304,153232452.266667
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 06:30:01 +0000 UTC,2023-06-07 06:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006228,0.003623,0.009258,0.006228,0,0,0,268435456,268435456,536870912,536870912,136801379.096774,136740864,136990720,136801379.096774,126153893.16129,126099456,126279680,126153893.16129
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 06:45:01 +0000 UTC,2023-06-07 07:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006408,0.003475,0.010073,0.006408,0,0,0,268435456,268435456,536870912,536870912,219870769.548387,219832320,220626944,219870769.548387,201910866.580645,201900032,202035200,201910866.580645
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-07 07:00:01 +0000 UTC,2023-06-07 07:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006571,0.002992,0.009879,0.006571,0,0,0,268435456,268435456,536870912,536870912,246872394.322581,246870016,246878208,246872394.322581,233406464,233406464,233406464,233406464
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-01 23:00:01 +0000 UTC,2023-06-01 23:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006027,0.002497,0.008339,0.006027,0,0,0,268435456,268435456,536870912,536870912,141047477.677419,141008896,141103104,141047477.677419,129275045.16129,129236992,129331200,129275045.16129
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-01 23:15:01 +0000 UTC,2023-06-01 23:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006183,0.003687,0.009556,0.006183,0,0,0,268435456,268435456,536870912,536870912,141179738.83871,141115392,141332480,141179738.83871,129399642.83871,129331200,129486848,129399642.83871
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-01 23:30:01 +0000 UTC,2023-06-01 23:45:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006621,0.003975,0.009445,0.006621,0,0,0,268435456,268435456,536870912,536870912,162213614.933333,162205696,162406400,162213614.933333,153956625.066667,153952256,154083328,153956625.066667
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-01 23:45:01 +0000 UTC,2023-06-02 00:00:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.00667,0.003605,0.009319,0.00667,0,0,0,268435456,268435456,536870912,536870912,246906087.225806,246870016,247656448,246906087.225806,233410692.129032,233406464,233537536,233410692.129032
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-02 00:00:01 +0000 UTC,2023-06-02 00:15:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006737,0.003242,0.010318,0.006737,0,0,0,268435456,268435456,536870912,536870912,219843418.83871,219836416,219938816,219843418.83871,201906242.064516,201904128,201969664,201906242.064516
2023-06-01 00:00:00 +0000 UTC,2023-07-01 00:00:00 +0000 UTC,2023-06-02 00:15:01 +0000 UTC,2023-06-02 00:30:00 +0000 UTC,acceptance,acceptance-8g97b,acceptance,Job,acceptance,job,tower,quay.io/analytics,ip.ec2.internal,i-92748787250,0.2,0.2,1,1,0.006348,0.003679,0.00876,0.006348,0,0,0,268435456,268435456,536870912,536870912,136899815.225806,136855552,137011200,136899815.225806,126253650.580645,126214144,126312448,126253650.580645
