start_timestamp,end_timestamp,cpu_request_avg_container,cpu_request_sum_container,cpu_limit_avg_container,cpu_limit_sum_container,cpu_usage_sum_container,cpu_usage_avg_container,cpu_usage_max_sum_container,cpu_usage_max_container,cpu_usage_min_container,cpu_throttle_sum_container,cpu_throttle_avg_container,cpu_throttle_max_container,mem_request_avg_container,mem_request_sum_container,mem_limit_avg_container,mem_limit_sum_container,mem_usage_sum_container,mem_usage_avg_container,mem_usage_max_container,mem_usage_min_container,mem_rss_sum_container,mem_rss_avg_container,mem_rss_max_container,mem_rss_min_container,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Thu Mar 23 21:04:47 UTC 2023,Thu Mar 23 21:19:47 UTC 2023,9.24,27.72,9.24,27.72,0.002380348417856,0.000793449472619,0.003329929911221,0.001498323236592,0.00015625829498,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,174.066666666667,58.0222222222222,58.3333333333333,57.6091954022989
Thu Mar 23 21:19:47 UTC 2023,Thu Mar 23 21:34:48 UTC 2023,9.24,27.72,9.24,27.72,0.002372172324297,0.000790724108099,0.003276201609212,0.001388904172927,0.000189763035936,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.328735632184,57.4429118773946,57.7218390804598,57.1908045977012
Thu Mar 23 21:34:48 UTC 2023,Thu Mar 23 21:49:48 UTC 2023,9.24,27.72,9.24,27.72,0.002420470852457,0.000806823617486,0.003247506241314,0.001317802933045,0.000202149401108,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.022988505747,57.3409961685824,57.9471264367816,56.8206896551724
Thu Mar 23 21:49:48 UTC 2023,Thu Mar 23 22:04:49 UTC 2023,9.24,27.72,9.24,27.72,0.00236620258333,0.000788734194443,0.003417159997237,0.00142604180146,0.000161128669667,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.36091954023,57.4536398467433,58.0275862068966,56.9172413793103
Thu Mar 23 22:04:49 UTC 2023,Thu Mar 23 22:19:49 UTC 2023,9.24,27.72,9.24,27.72,0.002389662536637,0.000796554178879,0.00355883105658,0.001544900494628,0.000234046399904,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.489655172414,57.4965517241379,58.8,56.0965517241379
Thu Mar 23 22:19:49 UTC 2023,Thu Mar 23 22:34:50 UTC 2023,9.24,27.72,9.24,27.72,0.002377130136463,0.000792376712154,0.003235998998086,0.001385593398785,0.000191533767308,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,173.905747126437,57.9685823754789,59.6045977011494,56.7241379310345
Thu Mar 23 22:34:50 UTC 2023,Thu Mar 23 22:49:50 UTC 2023,9.24,27.72,9.24,27.72,0.002411186112246,0.000803728704082,0.003290277300403,0.00141809117049,0.000154254802813,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,173.92183908046,57.9739463601533,59.2988505747127,57.1586206896552
Thu Mar 23 22:49:50 UTC 2023,Thu Mar 23 23:04:51 UTC 2023,9.24,27.72,9.24,27.72,0.002411000238887,0.000803666746296,0.003275061965299,0.001468397700228,0.000234713304477,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.731034482759,57.5770114942529,57.7862068965517,57.2068965517241
Thu Mar 23 23:04:51 UTC 2023,Thu Mar 23 23:19:51 UTC 2023,9.24,27.72,9.24,27.72,0.002420826179958,0.000806942059986,0.003656059363857,0.001555444501961,0.000177455429609,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.250574712644,57.0835249042146,57.2551724137931,56.8850574712644
Thu Mar 23 23:19:52 UTC 2023,Thu Mar 23 23:34:52 UTC 2023,9.24,27.72,9.24,27.72,0.002399809997943,0.000799936665981,0.003621989465319,0.001620930270292,0.000265038603296,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.314942528736,57.1049808429119,57.7379310344828,56.3218390804598
Thu Mar 23 23:34:52 UTC 2023,Thu Mar 23 23:49:52 UTC 2023,9.24,27.72,9.24,27.72,0.002441425760949,0.000813808586983,0.003340851065392,0.001513555164759,0.000221657768513,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.862068965517,57.2873563218391,57.7540229885057,56.9494252873563
Thu Mar 23 23:49:53 UTC 2023,Fri Mar 24 00:04:53 UTC 2023,9.24,27.72,9.24,27.72,0.002395800297769,0.000798600099256,0.003586917300709,0.001584973667438,0.000223760229225,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.908045977012,57.6360153256705,58.1885057471264,57.0298850574713
Fri Mar 24 00:04:53 UTC 2023,Fri Mar 24 00:19:54 UTC 2023,9.24,27.72,9.24,27.72,0.00242412792467,0.000808042641557,0.00374222699708,0.001614026399329,0.000179714600866,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,171.636781609195,57.2122605363985,57.3195402298851,57.0620689655173
Fri Mar 24 00:19:54 UTC 2023,Fri Mar 24 00:34:54 UTC 2023,9.24,27.72,9.24,27.72,0.002418974786479,0.000806324928826,0.00353273608877,0.001476160894769,0.000226219696924,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,173.245977011494,57.7486590038314,59.2183908045977,56.6758620689655
Fri Mar 24 00:34:54 UTC 2023,Fri Mar 24 00:49:55 UTC 2023,9.24,27.72,9.24,27.72,0.002412199996826,0.000804066665609,0.003520212532021,0.0014527689976,0.000201886566356,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.087356321839,57.3624521072797,58.4459770114943,56.4666666666667
Fri Mar 24 00:49:55 UTC 2023,Fri Mar 24 01:04:55 UTC 2023,9.24,27.72,9.24,27.72,0.002445611255502,0.000815203751834,0.003535760838228,0.001595184300095,0.000251604259635,0,0,0,2733000000,8199000000,2733000000,8199000000,3043409920,1014469973.33333,1066688512,932990976,3010134016,1003378005.33333,1053147136,920227840,172.666666666667,57.5555555555556,58.0919540229885,56.8367816091954
