start_timestamp,end_timestamp,container_name,image_name,namespace,k8_object_name,k8_object_type,cpu_request_container_avg,cpu_request_container_sum,cpu_limit_container_avg,cpu_limit_container_sum,cpu_usage_container_sum,cpu_usage_container_avg,cpu_usage_container_max,cpu_usage_container_min,cpu_throttle_container_sum,cpu_throttle_container_avg,cpu_throttle_container_max,memory_request_container_avg,memory_request_container_sum,memory_limit_container_avg,memory_limit_container_sum,memory_usage_container_sum,memory_usage_container_avg,memory_usage_container_max,memory_usage_container_min,memory_rss_usage_container_sum,memory_rss_usage_container_avg,memory_rss_usage_container_max,memory_rss_usage_container_min,network_sum_pod,network_avg_pod,network_max_pod,network_min_pod
Thu Feb  2 05:51:51 UTC 2023,Thu Feb  2 06:06:52 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,1.97443798489005,0.658145994963351,1.83846536296575,0.268804395800301,0,0,0,4096000000,12288000000,8192000000,24576000000,6699887314.30538,2233295771.43513,2269540352,2209738752,6669890782.4172,2223296927.4724,2259054592,2199810048,9893380.51149425,3297793.50383142,3570252.8862069,3046119.54367816
Thu Feb  2 06:06:52 UTC 2023,Thu Feb  2 06:21:52 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.608612135686626,0.202870711895542,0.611573891666679,0.046241861733142,0,0,0,4096000000,12288000000,8192000000,24576000000,6699000208.7914,2233000069.59713,2269450240,2209665024,6669456491.90538,2223152163.96846,2259066880,2199891968,2608828.04482759,869609.348275862,911895.959770115,800505.717241379
Thu Feb  2 06:21:52 UTC 2023,Thu Feb  2 06:36:52 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,2.37938348226556,0.793127827421855,1.85070445026698,0.056249319733858,0,0,0,4096000000,12288000000,8192000000,24576000000,6699809455.07097,2233269818.35699,2269626368,2209665024,6669819996.49032,2223273332.16344,2259230720,2199801856,10029973.7471264,3343324.58237548,3668100.72528736,3020180.4091954
Thu Feb  2 06:36:53 UTC 2023,Thu Feb  2 06:51:53 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.47052773172333,1.15684257724111,1.9616757566672,0.475930212900858,0,0,0,4096000000,12288000000,8192000000,24576000000,6700414962.7871,2233471654.26237,2269876224,2209726464,6670221223.91398,2223407074.63799,2259296256,2199805952,15215290.5896552,5071763.52988506,5789209.43908046,4557856.6137931
Thu Feb  2 06:51:53 UTC 2023,Thu Feb  2 07:06:53 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.46824893040414,1.15608297680138,1.9705550967997,0.505126331899858,0,0,0,4096000000,12288000000,8192000000,24576000000,6701164839.08817,2233721613.02939,2270203904,2209705984,6670963630.52043,2223654543.50681,2259771392,2199805952,25868490.4965517,8622830.16551724,9462370.01609196,7852928.4954023
Thu Feb  2 07:06:53 UTC 2023,Thu Feb  2 07:21:54 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,2.02561650739443,0.675205502464809,1.64244674203316,0.183740453300804,0,0,0,4096000000,12288000000,8192000000,24576000000,6701436597.67742,2233812199.22581,2270199808,2209824768,6671400444.69677,2223800148.23226,2259824640,2199875584,13410458.0712644,4470152.69042146,4766572.54022989,4199172.79885058
Thu Feb  2 07:21:54 UTC 2023,Thu Feb  2 07:36:54 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,3.0292337656011,1.0097445885337,1.95222712279938,0.300338583466752,0,0,0,4096000000,12288000000,8192000000,24576000000,6702124575.93118,2234041525.31039,2270765056,2209828864,6671893647.13978,2223964549.04659,2260054016,2199867392,14274349.5218391,4758116.50727969,5382311.04942529,4278620.67931035
Thu Feb  2 07:36:54 UTC 2023,Thu Feb  2 07:51:55 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,2.12489358146112,0.708297860487041,1.82395999013291,0.258607178833336,0,0,0,4096000000,12288000000,8192000000,24576000000,6703182938.28817,2234394312.76272,2271105024,2209755136,6673144561.13548,2224381520.37849,2260652032,2199814144,10696578.4850575,3565526.16168582,3948908.2816092,3245355.96781609
Thu Feb  2 07:51:55 UTC 2023,Thu Feb  2 08:06:55 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.705542403253299,0.235180801084433,0.813393962400733,0.039485281966821,0,0,0,4096000000,12288000000,8192000000,24576000000,6702995561.70323,2234331853.90108,2270998528,2209669120,6673387326.21075,2224462442.07025,2260852736,2199896064,3136754.3183908,1045584.77279694,1105993.00344828,977638.889655172
Thu Feb  2 08:06:55 UTC 2023,Thu Feb  2 08:21:55 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.346854045696705,0.115618015232235,0.206945661899711,0.042878563333458,0,0,0,4096000000,12288000000,8192000000,24576000000,6702722684.42151,2234240894.80717,2271002624,2209669120,6673356526.93333,2224452175.64444,2260852736,2199896064,938115.918390805,312705.306130268,331808.450574713,276662.002298851
Thu Feb  2 08:21:55 UTC 2023,Thu Feb  2 08:36:56 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,7.89013618354299,2.63004539451433,5.75804424216622,0.042441982065793,0,0,0,4096000000,12288000000,8192000000,24576000000,6709031700.36989,2236343900.1233,2274091008,2209669120,6675909264.24086,2225303088.08029,2261925888,2199896064,29135884.7988506,9711961.59961686,10220221.3126437,9451621.72413793
Thu Feb  2 08:36:56 UTC 2023,Thu Feb  2 08:51:56 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.6204463568477,3.87348211894924,5.8250118503997,2.15106116460035,0,0,0,4096000000,12288000000,8192000000,24576000000,6713367342.7957,2237789114.26523,2274177024,2211917824,6678642163.88817,2226214054.62939,2262605824,2200662016,42840657.9586207,14280219.3195402,15107869.2183908,13688486.6701149
Thu Feb  2 08:51:56 UTC 2023,Thu Feb  2 09:06:57 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.4068427465199,3.80228091550663,7.27553053489925,1.80990730603323,0,0,0,4096000000,12288000000,8192000000,24576000000,6747141060.54194,2249047020.18065,2283835392,2212098048,6708543672.98064,2236181224.32688,2267627520,2200768512,41864966.1954023,13954988.7318008,14441945.0126437,13554055.8344828
Thu Feb  2 09:06:57 UTC 2023,Thu Feb  2 09:21:57 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.5363785882545,3.84545952941815,6.39502438173319,1.57661202873278,0,0,0,4096000000,12288000000,8192000000,24576000000,6776861244.55914,2258953748.18638,2299428864,2214969344,6735892946.85591,2245297648.95197,2283118592,2202324992,41470662.1988506,13823554.0662835,13929235.5344828,13627438.5712644
Thu Feb  2 09:21:57 UTC 2023,Thu Feb  2 09:36:58 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.2394007736156,3.74646692453852,5.50261352866655,2.00289859580031,0,0,0,4096000000,12288000000,8192000000,24576000000,6780346993.41075,2260115664.47025,2291818496,2215510016,6737643343.82796,2245881114.60932,2274979840,2202603520,41473160.4827586,13824386.8275862,14159523.3908046,13634623.2965517
Thu Feb  2 09:36:58 UTC 2023,Thu Feb  2 09:51:58 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,11.4008263491989,3.80027544973296,6.33148328303262,1.76827067666648,0,0,0,4096000000,12288000000,8192000000,24576000000,6778904994.4086,2259634998.1362,2286686208,2215333888,6736602704.3785,2245534234.79283,2270097408,2202595328,41652225.537931,13884075.1793103,14025547.1057471,13737951.4114943
Thu Feb  2 09:51:58 UTC 2023,Thu Feb  2 10:06:59 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,8.63906350822887,2.87968783607629,5.8112063862005,1.02084176019998,0,0,0,4096000000,12288000000,8192000000,24576000000,6767810427.87097,2255936809.29032,2286960640,2211659776,6731888490.25376,2243962830.08459,2269966336,2201067520,33467173.3609195,11155724.4536398,11857000.7149425,10665393.045977
Thu Feb  2 10:06:59 UTC 2023,Thu Feb  2 10:21:59 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,7.26211623166557,2.42070541055519,4.23846014579952,1.14021793906674,0,0,0,4096000000,12288000000,8192000000,24576000000,6762187280.51613,2254062426.83871,2277007360,2211737600,6729772597.95269,2243257532.6509,2265878528,2201255936,29965185.191954,9988395.06398468,10998446.4137931,9270849.85632184
Thu Feb  2 10:21:59 UTC 2023,Thu Feb  2 10:37:00 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,2.74318288017,0.914394293389999,3.56769725593331,0.063775104266824,0,0,0,4096000000,12288000000,8192000000,24576000000,6759678136.98065,2253226045.66021,2276859904,2210750464,6729010768.37849,2243003589.4595,2265853952,2200944640,10949137.9298851,3649712.64329502,4009340.0137931,3361624.22988506
Thu Feb  2 10:37:00 UTC 2023,Thu Feb  2 10:52:00 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.48657774073986,0.16219258024662,0.258085765766252,0.056226625200361,0,0,0,4096000000,12288000000,8192000000,24576000000,6757935266.95914,2252645088.98638,2275606528,2210738176,6728425472,2242808490.66667,2265321472,2200961024,1590725.50229885,530241.834099617,559302.287356322,472334.937931035
Thu Feb  2 10:52:00 UTC 2023,Thu Feb  2 11:07:00 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,6.36600376475445,2.12200125491815,4.53490796793291,0.070362634099244,0,0,0,4096000000,12288000000,8192000000,24576000000,6763432037.29893,2254477345.76631,2279432192,2210783232,6730806745.46237,2243602248.48745,2266365952,2200993792,19931743.8862069,6643914.62873563,7061288.17126437,6423485.54712644
Thu Feb  2 11:07:00 UTC 2023,Thu Feb  2 11:22:01 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.82569522586776,3.27523174195592,5.73166815889999,1.43106824836674,0,0,0,4096000000,12288000000,8192000000,24576000000,6769190687.38065,2256396895.79355,2280280064,2213666816,6734550718.48602,2244850239.49534,2267308032,2202431488,31655533.4586207,10551844.4862069,11282489.2954023,10114124.9252874
Thu Feb  2 11:22:01 UTC 2023,Thu Feb  2 11:37:01 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.99696355895118,3.33232118631706,5.02033110660074,1.6315533485671,0,0,0,4096000000,12288000000,8192000000,24576000000,6773065908.57634,2257688636.19211,2281852928,2215337984,6738176061.66022,2246058687.22007,2269020160,2204012544,31778734.508046,10592911.502682,11386589.1655172,10157341.3034483
Thu Feb  2 11:37:01 UTC 2023,Thu Feb  2 11:52:02 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.97484988625218,3.32494996208406,4.49890395063267,1.75221216573361,0,0,0,4096000000,12288000000,8192000000,24576000000,6778215668.43871,2259405222.8129,2283606016,2217013248,6743378351.62151,2247792783.87384,2271260672,2205663232,31163799.9367816,10387933.3122605,11189085.8988506,9971788.70344828
Thu Feb  2 11:52:02 UTC 2023,Thu Feb  2 12:07:02 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.97269436236555,3.32423145412185,5.10657115359985,1.45278210170024,0,0,0,4096000000,12288000000,8192000000,24576000000,6783832407.53548,2261277469.17849,2285576192,2219257856,6749205365.26452,2249735121.75484,2273009664,2207916032,31435562.5137931,10478520.837931,11741988.8988506,9827616.49195402
Thu Feb  2 12:07:02 UTC 2023,Thu Feb  2 12:22:03 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.8903025884745,3.2967675294915,4.79723965273297,1.61374525126691,0,0,0,4096000000,12288000000,8192000000,24576000000,6788522014.83011,2262840671.61004,2286731264,2221572096,6754373689.25592,2251457896.41864,2274332672,2210463744,31497143.2632184,10499047.7544061,12016455.3045977,9664721.74942529
Thu Feb  2 12:22:03 UTC 2023,Thu Feb  2 12:37:03 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,4.19186784618111,1.39728928206037,5.40587938883303,0.059853815100117,0,0,0,4096000000,12288000000,8192000000,24576000000,6789081990.88172,2263027330.29391,2286764032,2222460928,6757769127.91398,2252589709.30466,2275065856,2212524032,13882384.9482759,4627461.64942529,5104132.99425287,4383099.90574713
Thu Feb  2 12:37:03 UTC 2023,Thu Feb  2 12:52:03 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,0.394767708829959,0.131589236276653,0.268205112133486,0.046980178633627,0,0,0,4096000000,12288000000,8192000000,24576000000,6786653591.39785,2262217863.79928,2284257280,2222460928,6757294322.23656,2252431440.74552,2274222080,2212720640,2215679.27050942,738559.756836472,789665.680854243,651129.570114943
Thu Feb  2 12:52:03 UTC 2023,Thu Feb  2 13:07:04 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,9.72365234773731,3.24121744924577,7.2023565806332,0.05398690966637,0,0,0,4096000000,12288000000,8192000000,24576000000,6796511619.5785,2265503873.19283,2288009216,2222473216,6762332886.70968,2254110962.23656,2276003840,2212728832,61279999.6344828,20426666.5448276,23543153.4827586,17877266.3126437
Thu Feb  2 13:07:04 UTC 2023,Thu Feb  2 13:22:04 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,16.8457738320277,5.61525794400925,8.219992995267,2.77459739333329,0,0,0,4096000000,12288000000,8192000000,24576000000,6892773191.01935,2297591063.67312,2480119808,2229477376,6855500753.75484,2285166917.91828,2467184640,2216972288,108352222.566667,36117407.5222222,42089058.5310345,32603129.1448276
Thu Feb  2 13:22:04 UTC 2023,Thu Feb  2 13:37:05 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,16.4164360299722,5.47214534332407,8.65792669143411,2.31325491259922,0,0,0,4096000000,12288000000,8192000000,24576000000,7112937044.7828,2370979014.9276,2490834944,2288218112,7068770224.72258,2356256741.57419,2471104512,2275348480,105809358.962069,35269786.3206897,39713504.7724138,32196941.2517241
Thu Feb  2 13:37:05 UTC 2023,Thu Feb  2 13:52:06 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,16.2779526857489,5.42598422858295,8.53202566013303,2.48319370140089,0,0,0,4096000000,12288000000,8192000000,24576000000,7120924394.52903,2373641464.84301,2486743040,2295537664,7072694663.9828,2357564887.99427,2470440960,2279096320,105173060.55977,35057686.8532567,38093767.8367816,33015457.2287356
Thu Feb  2 13:52:06 UTC 2023,Thu Feb  2 14:07:06 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,16.4472945860024,5.48243152866748,8.54735035434397,2.86353454313357,0,0,0,4096000000,12288000000,8192000000,24576000000,7121965716.64516,2373988572.21505,2488291328,2295627776,7073378999.87957,2357792999.95986,2471366656,2279215104,104853123.572414,34951041.1908046,38056122.2678161,33022745.1860556
Thu Feb  2 14:07:06 UTC 2023,Thu Feb  2 14:22:07 UTC 2023,tfb-server,kruize/tfb-qrh:2.1.9.F,Autotune-tfb,tfb-qrh,deployment,8,24,16,48,16.5540101662511,5.51800338875038,8.87841121043311,3.0337346161997,0,0,0,4096000000,12288000000,8192000000,24576000000,7123491613.17849,2374497204.39283,2490064896,2295975936,7074690446.58925,2358230148.86308,2472837120,2279542784,106005025.698155,35335008.5660516,37950231.1689655,33914474.1896552
